ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional,fold,model,proba
FAST,2023-03-31,2023-04-13,1.0,52.35,48.82,-0.02,7.21,0.5,0.52,0.48,13.0,0.5,0.5,0.49,0.47,2.0,0.0,4.0,0.0,1859040000.0,1879250000.0,1806000000.0,12.0,-3272.8,-3342.08,51.73,26.97,16.13,287.29,16.93,7.5,-14.0,17.48,19.4,-0.13,0.57,52.5,52.5,52.5,2023-04-21,1.375,1.225,2.6,4.9523809523809526,1.125,0.325,1.45,54.81,2.3100000000000023,0.40511,0.39536,0.400235,0.22463,43.87547315951878,-0.126825,1497.0,222.0,0.973897389738974,9.0,0.0,1,4.9523809523809526,2023-04-12,411.0,392.6689147949219,0.166095,0.1735273809523809,0.1760821428571428,0.0074323809523809,0.0099871428571428,0,0.20024,0.1417,0.05854,0.004875,0.0524061250889622,0.0322708636423753,0.0358565737051792,0.0498069484015831,0.1468336882219736,0.0192613117780263,0.3392065472488044,1.1,-1.5666514426403957,0.8557422336632279,-0.5471687520310011,-0.0015173210348047,0.0629211379878691,-0.0172097471107041,1,19.09000015258789,21.049999237060547,2.48050015258789,2.6,2.3100000000000023,expiry_intrinsic,0.13,1.9500000000000002,14.04999999999978,0.0026761904761904345,fold_1,logreg,0.6666666666666666
PGR,2023-03-31,2023-04-13,0.0,141.84,133.65,-2.56,3.41,1.37,1.98,1.14,17.0,1.34,1.55,1.7,1.64,1.0,0.0,2.0,3.0,15871600000.0,16207000000.0,14683000000.0,6.0,6733.6,5181.6,-937.6,2754.42,4.01,288.17,3.43,68.89,210.2,-69.11,-78.1,-6.46,-6.97,150.0,135.0,150.0,2023-04-21,1.675,3.4,5.075,3.3833333333333333,0.03,14.45,14.48,137.02,12.97999999999999,0.25877,0.26853,0.26365,0.19048,27.752702446425182,-0.0243899999999999,2095.0,156.0,0.6323529411764706,9.0,9.999999999999998,0,-6.616666666666665,2023-04-12,411.0,392.6689147949219,0.166095,0.1735273809523809,0.1760821428571428,0.0074323809523809,0.0099871428571428,0,0.20024,0.1417,0.05854,0.004875,0.0524061250889622,0.0322708636423753,0.0358565737051792,0.0498069484015831,0.1468336882219736,0.0192613117780263,0.3392065472488044,1.1,-1.5666514426403957,0.8557422336632279,-0.5471687520310011,-0.0015173210348047,0.0629211379878691,-0.0172097471107041,1,19.09000015258789,21.049999237060547,2.48050015258789,5.075,12.97999999999999,expiry_intrinsic,0.25375000000000003,1.9500000000000002,-817.8249999999989,-0.05452166666666659,fold_1,logreg,0.6666666666666666
BLK,2023-03-31,2023-04-14,1.0,631.74,753.99,9.43,-8.31,7.76,8.13,7.22,11.0,7.72,7.99,7.95,8.03,1.0,0.0,2.0,3.0,4243050000.0,4280000000.0,4176000000.0,9.0,40607.2,33352.8,3712.0,3577.32,-7.75,314.59,-6.64,-14.3,-6.49,-12.69,-14.3,-2.09,-2.73,672.5,700.0,670.0,2023-04-14,10.8,9.75,20.55,3.0557620817843865,,,,691.33,21.33000000000004,0.74657,0.72706,0.736815,0.209995,71.49963016496679,-0.458525,161.0,77.0,1.1876061120543293,1.0,4.089219330855021,0,-1.0334572490706342,2023-04-13,416.0,397.8846130371094,0.15634,0.1633078571428571,0.1667921428571428,0.0069678571428571,0.0104521428571427,0,0.18073,0.1403071428571428,0.0404228571428571,0.0041785714285713,0.0,0.0,0.0,0.102322374562948,0.1435108534753165,0.0128291465246835,0.7129939797936413,1.36,0.0212084315058469,1.7228583637205734,0.1204027498840959,0.0144013134584206,0.059525674752767,-0.0041556519142181,1,17.799999237060547,20.260000228881836,2.165999237060543,20.55,21.33000000000004,expiry_intrinsic,1.0275,1.9500000000000002,-182.70000000000402,-0.002716728624535376,fold_1,logreg,0.6382978723404256
C,2023-03-31,2023-04-14,1.0,44.82,49.92,10.58,-0.72,1.67,2.15,1.4,21.0,1.7,1.69,1.67,1.57,5.0,0.0,7.0,3.0,19985700000.0,20754000000.0,19433000000.0,16.0,14280.8,13426.24,294.93,537.68,25.48,297.07,20.92,-20.55,-28.83,-26.61,-31.53,-25.66,-15.62,47.5,49.5,47.5,2023-04-14,0.8049999999999999,1.01,1.815,3.8210526315789473,,,,49.56,2.0600000000000023,0.90266,0.92217,0.912415,0.23926,73.7772833633818,-0.595105,2696.0,1587.0,0.8412267842508051,1.0,4.210526315789465,0,-0.3894736842105173,2023-04-13,416.0,397.8846130371094,0.15634,0.1633078571428571,0.1667921428571428,0.0069678571428571,0.0104521428571427,0,0.18073,0.1403071428571428,0.0404228571428571,0.0041785714285713,0.0,0.0,0.0,0.102322374562948,0.1435108534753165,0.0128291465246835,0.7129939797936413,1.36,0.0212084315058469,1.7228583637205734,0.1204027498840959,0.0144013134584206,0.059525674752767,-0.0041556519142181,1,17.799999237060547,20.260000228881836,2.165999237060543,1.815,2.0600000000000023,expiry_intrinsic,0.09075,1.9500000000000002,-35.52500000000023,-0.0074789473684211015,fold_1,logreg,0.6382978723404256
JPM,2023-03-31,2023-04-14,1.0,128.26,143.01,8.16,-2.99,3.41,3.86,2.93,22.0,3.4,3.47,3.42,3.36,4.0,0.0,7.0,3.0,36187100000.0,38227000000.0,33953000000.0,17.0,17792.8,16603.36,1045.33,696.27,20.89,277.07,16.72,7.21,14.42,-21.15,-22.49,-23.96,-16.8,129.0,140.0,129.0,2023-04-14,1.945,1.96,3.905,3.0271317829457365,,,,138.73,9.72999999999999,0.7173,0.72706,0.72218,0.185605,74.29934365393669,-0.45365,1564.0,3242.0,0.6815686200520735,1.0,8.52713178294573,0,-5.499999999999994,2023-04-13,416.0,397.8846130371094,0.15634,0.1633078571428571,0.1667921428571428,0.0069678571428571,0.0104521428571427,0,0.18073,0.1403071428571428,0.0404228571428571,0.0041785714285713,0.0,0.0,0.0,0.102322374562948,0.1435108534753165,0.0128291465246835,0.7129939797936413,1.36,0.0212084315058469,1.7228583637205734,0.1204027498840959,0.0144013134584206,0.059525674752767,-0.0041556519142181,1,17.799999237060547,20.260000228881836,2.165999237060543,3.9050000000000002,9.72999999999999,expiry_intrinsic,0.19525000000000003,1.9500000000000002,-603.974999999999,-0.04681976744186039,fold_1,logreg,0.6382978723404256
UNH,2023-03-31,2023-04-14,1.0,465.43,489.57,9.96,4.54,6.13,7.33,5.39,21.0,6.13,6.13,6.13,6.1,1.0,0.0,2.0,0.0,89778900000.0,91251000000.0,88332000000.0,16.0,41405.6,29788.32,500.27,11362.23,12.71,300.72,12.78,19.2,-7.77,17.59,18.63,0.34,0.44,525.0,505.0,525.0,2023-04-14,6.125,4.975,11.1,2.1142857142857143,,,,511.79,13.20999999999998,0.49292,0.51243,0.502675,0.180725,64.04734669518078,-0.282925,785.0,913.0,0.5948802685760747,1.0,3.809523809523807,0,-1.6952380952380928,2023-04-13,416.0,397.8846130371094,0.15634,0.1633078571428571,0.1667921428571428,0.0069678571428571,0.0104521428571427,0,0.18073,0.1403071428571428,0.0404228571428571,0.0041785714285713,0.0,0.0,0.0,0.102322374562948,0.1435108534753165,0.0128291465246835,0.7129939797936413,1.36,0.0212084315058469,1.7228583637205734,0.1204027498840959,0.0144013134584206,0.059525674752767,-0.0041556519142181,1,17.799999237060547,20.260000228881836,2.165999237060543,11.1,13.20999999999998,expiry_intrinsic,0.555,1.9500000000000002,-268.449999999998,-0.005113333333333295,fold_1,logreg,0.6382978723404256
WFC,2023-03-31,2023-04-14,1.0,38.85,44.22,2.03,-10.36,1.13,1.38,0.95,22.0,1.12,1.15,1.15,1.07,6.0,0.0,8.0,3.0,20078600000.0,20541000000.0,19520000000.0,19.0,1282.4,935.68,176.53,502.45,0.43,279.94,-0.89,16.0,70.59,-40.03,-47.13,-13.0,-16.85,39.5,41.5,39.5,2023-04-14,0.945,0.77,1.715,4.341772151898734,,,,39.64,0.1400000000000005,1.049,1.02949,1.039245,0.253895,75.56928347021154,-0.71218,3094.0,2295.0,0.6852866730139563,1.0,5.063291139240511,0,-0.7215189873417769,2023-04-13,416.0,397.8846130371094,0.15634,0.1633078571428571,0.1667921428571428,0.0069678571428571,0.0104521428571427,0,0.18073,0.1403071428571428,0.0404228571428571,0.0041785714285713,0.0,0.0,0.0,0.102322374562948,0.1435108534753165,0.0128291465246835,0.7129939797936413,1.36,0.0212084315058469,1.7228583637205734,0.1204027498840959,0.0144013134584206,0.059525674752767,-0.0041556519142181,1,17.799999237060547,20.260000228881836,2.165999237060543,1.7149999999999999,0.1400000000000005,expiry_intrinsic,0.08574999999999999,1.9500000000000002,146.97499999999994,0.03720886075949365,fold_1,logreg,0.6382978723404256
STT,2023-03-31,2023-04-17,0.0,71.77,83.0,1.27,-12.43,1.64,1.71,1.56,16.0,1.66,1.73,1.74,1.7,2.0,0.0,2.0,3.0,3124210000.0,3166000000.0,3097000000.0,13.0,17325.6,13207.84,44.8,4020.17,13.62,302.03,10.94,3.5,13.74,-5.18,4.92,-11.69,-2.02,80.0,75.0,80.0,2023-04-21,2.2249999999999996,2.0,4.225,5.28125,0.05,5.1,5.1499999999999995,73.63,6.3700000000000045,0.49292,0.46365,0.478285,0.32707,31.6160866429012,-0.136585,317.0,2964.0,0.5175788329104748,7.0,6.25,0,-0.96875,2023-04-14,415.0,396.9127197265625,0.15146,0.1591285714285714,0.1642359523809523,0.0076685714285714,0.0127759523809523,0,0.1737585714285714,0.13195,0.0418085714285714,0.0013942857142857,0.0,0.0,0.0,0.1080256947542708,0.1410686071974949,0.010391392802505,0.7657670753283595,1.18,-1.0151708581158243,1.403559293979489,-0.1409506563972676,0.0079915231604128,0.0635895762622118,-0.0065881522636604,1,17.06999969482422,20.030000686645508,1.923999694824218,4.225,6.3700000000000045,expiry_intrinsic,0.21125,1.9500000000000002,-237.5750000000005,-0.029696875000000063,fold_1,logreg,0.6382978723404256
SCHW,2023-03-31,2023-04-17,1.0,56.41,83.49,-6.45,-36.79,0.9,0.93,0.87,17.0,0.92,0.94,1.0,1.1,0.0,0.0,1.0,1.0,5131610000.0,5240250000.0,5053000000.0,11.0,6780.0,4862.72,57.6,1992.25,17.43,305.58,14.52,24.42,-2.73,19.82,21.72,-4.42,1.49,50.5,54.0,50.5,2023-04-21,2.5549999999999997,2.27,4.824999999999999,9.554455445544551,3.65,0.065,3.715,53.8,3.299999999999997,0.85388,0.86364,0.85876,0.400235,53.39384694210256,-0.33658,205.0,609.0,0.9213866232509952,7.0,6.930693069306937,1,2.6237623762376163,2023-04-14,415.0,396.9127197265625,0.15146,0.1591285714285714,0.1642359523809523,0.0076685714285714,0.0127759523809523,0,0.1737585714285714,0.13195,0.0418085714285714,0.0013942857142857,0.0,0.0,0.0,0.1080256947542708,0.1410686071974949,0.010391392802505,0.7657670753283595,1.18,-1.0151708581158243,1.403559293979489,-0.1409506563972676,0.0079915231604128,0.0635895762622118,-0.0065881522636604,1,17.06999969482422,20.030000686645508,1.923999694824218,4.824999999999999,3.299999999999997,expiry_intrinsic,0.24124999999999996,1.9500000000000002,126.42500000000022,0.025034653465346578,fold_1,logreg,0.6666666666666666
JBHT,2023-03-31,2023-04-17,0.0,167.5,176.29,5.46,0.2,2.02,2.29,1.73,20.0,2.07,2.09,1.95,2.19,0.0,0.0,2.0,0.0,3403880000.0,3672170000.0,2959500000.0,16.0,3821.6,4623.52,-410.67,599.59,21.74,285.96,24.66,-15.79,-25.29,23.33,27.36,1.32,0.4,175.0,175.0,175.0,2023-04-21,5.3,3.25,8.55,4.885714285714286,1.85,1.75,3.6,176.42,1.4199999999999875,0.43438,0.42462,0.4295,0.288045,32.934807916181605,-0.1317049999999999,466.0,41.0,1.1319018404907977,7.0,0.0,1,4.885714285714286,2023-04-14,415.0,396.9127197265625,0.15146,0.1591285714285714,0.1642359523809523,0.0076685714285714,0.0127759523809523,0,0.1737585714285714,0.13195,0.0418085714285714,0.0013942857142857,0.0,0.0,0.0,0.1080256947542708,0.1410686071974949,0.010391392802505,0.7657670753283595,1.18,-1.0151708581158243,1.403559293979489,-0.1409506563972676,0.0079915231604128,0.0635895762622118,-0.0065881522636604,1,17.06999969482422,20.030000686645508,1.923999694824218,8.55,1.4199999999999875,expiry_intrinsic,0.42750000000000005,1.9500000000000002,668.3000000000012,0.038188571428571495,fold_1,logreg,0.6444444444444445
